a  啊
yun-xiang-shan  云翔山
yun-xiao  云霄
yun-xing 运行 陨星  云姓
yun-xiong  云兄
yun-xu  允许
yun-yan  云烟
yun-yang  云阳
yun-yi-shan  韵一闪
yun-yin  云隐
yun-yin-ju  云隐举
yun-yin-ling  云隐令
yun-yin-ling-zhe  云隐令者
yun-yin-shan  云隐山
yun-yin-zong  云隐宗
yun-yin-zong-ben  云隐宗本
yun-yin-zong-cai  云隐宗才
yun-yin-zong-cheng  云隐宗成
yun-yin-zong-chu  云隐宗出
yun-yin-zong-da  云隐宗大
yun-yin-zong-dai  云隐宗待
yun-yin-zong-de-xiang  云隐宗得享
yun-yin-zong-di  云隐宗地
yun-yin-zong-ding  云隐宗顶
yun-yin-zong-fei  云隐宗非
yun-yin-zong-fen  云隐宗分
yun-yin-zong-gan  云隐宗敢
yun-yin-zong-gao  云隐宗高
yun-yin-zong-hou  云隐宗后
yun-yin-zong-hu  云隐宗护
yun-yin-zong-hui  云隐宗会
yun-yin-zong-jiao  云隐宗交
yun-yin-zong-jing  云隐宗竟
yun-yin-zong-kuai  云隐宗会
yun-yin-zong-lai  云隐宗来
yun-yin-zong-li 云隐宗里  云隐宗离
yun-yin-zong-neng  云隐宗能
yun-yin-zong-qu  云隐宗去
yun-yin-zong-ruo  云隐宗弱
yun-yin-zong-shi  云隐宗势
yun-yin-zong-tai-shang  云隐宗太上
yun-yin-zong-wu-mai  云隐宗五脉
yun-yin-zong-you  云隐宗有
yun-yin-zong-yuan  云隐宗愿
yun-yin-zong-ze  云隐宗则
yun-yin-zong-zhen  云隐宗真
yun-yin-zong-zhi-fu  云隐宗之福
yun-yin-zong-zhi-hang  云隐宗之行
yun-yin-zong-zhi-xing  云隐宗之行
yun-yin-zong-zhou  云隐宗骤
yun-yin-zong-zong-men  云隐宗宗门
yun-yin-zong-zu  云隐宗足
yun-ying  云迎
yun-yong 云涌  运用
yun-yong-zhi-miao  运用之妙
yun-yong-zi-ru  运用自如
yun-you 云有 云游  蕴有
yun-yu 运于 孕育  蕴育
yun-yu-chu  孕育出
yun-yun 云云  芸芸
yun-yun-hu-hu  晕晕乎乎
yun-yun-zhong-sheng  芸芸众生
yun-zai-gong-ju  运载工具
yun-zan-ci  云攒刺
yun-zang  蕴藏
yun-zha  云炸
yun-zhao  云罩
yun-zhe  云遮
yun-zheng-xia-wei  云蒸霞蔚
yun-zhi-li  允之理
yun-zhi-yi  允之意
yun-zhong  云中
yun-zhou  云州
yun-zhuan  运转
yun-zhun  允准
yun-zi  云子
yun-zou  运走
yun-zu 运足  云足
yun-zuo  运作
za 扎  砸
za-ba  咂巴
za-bo  杂驳
za-bu-qing  杂不清
za-cao  杂草
za-cao-cong-sheng  杂草丛生
za-cheng  扎成
za-chu  扎出
za-dao  扎到
za-de  扎得
za-dui  扎堆
za-gen  扎根
za-guo-lai  砸过来
za-guo-mai-tie  砸锅卖铁
za-guo-qu  砸过去
za-hu  咋呼
za-huai  砸坏
za-huo  杂货
za-huo-dian  杂货店
za-huo-pu  杂货铺
za-ji  杂记
za-jin  扎进
za-ju  杂居
za-kai  砸开
za-lan  砸烂
za-lin-xuan  扎林轩
za-luan  杂乱
za-luan-wu-zhang  杂乱无章
za-luo  扎落
za-mao  杂毛
za-nian  杂念
za-po  砸破
za-qi-za-ba  杂七杂八
za-qu  扎去
za-ru 扎入  砸入
za-se  杂色
za-shang 扎上  砸伤
za-shang-qu  扎上去
za-she 咂舌  咋舌
za-shi 杂事  扎实
za-shou  扎手
za-shu  杂书
za-shua  杂耍
za-si  砸死
za-sui  砸碎
za-wen  咋闻
za-wu 杂物  杂务
za-xia  扎下
za-xian  咋现
za-xue 扎穴  杂学
za-xue-lai  杂学来
za-xue-shang  杂学上
za-xue-tai-duo  杂学太多
za-yan  扎眼
za-yi  杂役
za-yu  杂鱼
za-za-hu-hu  咋咋呼呼
za-ze-hu-hu  咋咋呼呼
za-zha-hu-hu  咋咋呼呼
za-zhi  杂质
za-zui  咂嘴
zai 宰 再  在
zai-bai  再败
zai-bao  再报
zai-bian  再变
zai-biao  再标
zai-bu-qu  再不去
zai-cang  再藏
zai-cha  再差
zai-chai  再差
zai-chang 再长  在场
zai-chang-shang  再尝上
zai-chao  再朝
zai-chen  再称
zai-cheng 宰成 再撑  再称
zai-chong 再冲  再重
zai-chu  再出
zai-ci 再差 再此  再次
zai-ci-chu-xian  再次出现
zai-ci-fa-sheng  再次发生
zai-ci-qi-jian  在此期间
zai-ci-yi-ju  在此一举
zai-ci-zhi-qian  在此之前
zai-cun 再存  再寸
zai-da  再大
zai-da-shang  再大上
zai-dai  再待
zai-dan  再弹
zai-dao 再到  栽倒
zai-de  栽得
zai-diao  宰掉
zai-ding  再定
zai-dong  再动
zai-dou  再斗
zai-du 再渡  再度
zai-duan  栽段
zai-duo-dai  再多待
zai-duo-fei  再多费
zai-duo-gui  再多贵
zai-duo-jia  再多加
zai-duo-yan  再多言
zai-e  宰鹅
zai-er-san  再而三
zai-fan  再犯
zai-fang  再放
zai-fei 再费  再飞
zai-fu  再服
zai-gan  再敢
zai-ge  宰割
zai-ge-zai-wu  载歌载舞
zai-gen-tou  栽跟头
zai-guan  再管
zai-guo  宰过
zai-hai  灾害
zai-hang  再行
zai-hao-bu-guo  再好不过
zai-he  再合
zai-he-yu  再合于
zai-hou  载后
zai-hu  在乎
zai-hua  再花
zai-hua-xie  再花些
zai-huai  再坏
zai-hui  再会
zai-hui-chu  再挥出
zai-hui-shou  再回首
zai-hun  再魂
zai-huo 再活  灾祸
zai-ji 再记  再集
zai-ji-xi  再击西
zai-jia 在家  再加
zai-jian  再见
zai-jian-mian  再见面
zai-jiang 再降  再强
zai-jiao  再教
zai-jie  再接
zai-jie-nan-tao  在劫难逃
zai-jie-zai-li  再接再厉
zai-jin 栽进 再进 再近  再晋
zai-jin-qu  栽进去
zai-jin-yi-bu  再进一步
zai-jing 再敬  再经
zai-ju-he  再聚合
zai-juan  再卷
zai-kai  再开
zai-ku  再苦
zai-kuai  再会
zai-kuang  再狂
zai-lai 再来  再赖
zai-li  在理
zai-lian 再炼  再练
zai-lian-ge  再练个
zai-liang  再量
zai-liao  再聊
zai-lie  再烈
zai-lin-xuan  栽林轩
zai-luan  再乱
zai-luo 栽落 再罗  再落
zai-ma  再码
zai-man  再慢
zai-mei  再美
zai-mie  再灭
zai-mou-si  再谋思
zai-nan 再难  灾难
zai-nei  在内
zai-ni-kan-lai  在你看来
zai-ni-tian  再逆天
zai-ning-chu  再凝出
zai-ning-hou  再凝厚
zai-pei 栽培  再配
zai-qi  再起
zai-qi-bo-lan  再起波澜
zai-qiao-bu  再巧布
zai-qing-xin  再轻心
zai-qiu  再求
zai-qu  再娶
zai-rao  再绕
zai-ren-qian  再人前
zai-rong-xia  再容下
zai-ru 栽入  再入
zai-ruo  再弱
zai-san  再三
zai-sha  宰杀
zai-shao  再少
zai-sheng  再生
zai-sheng-fu-mu  再生父母
zai-shi 再示 再施 再世  再试
zai-shi-yi-ci  再试一次
zai-shi-yi-xia  再试一下
zai-shou 再手 再守 再收 再受  在手
zai-shu 再树  再熟
zai-shuo  再说
zai-shuo-xia-qu  再说下去
zai-si  再思
zai-suan  再算
zai-suo-bu-ci  在所不辞
zai-suo-bu-xi  在所不惜
zai-suo-nan-mian  在所难免
zai-tan 再弹  再谈
zai-ti  载体
zai-tian 再添  再天
zai-tuo-da  再托大
zai-wai 再外  在外
zai-wan  再晚
zai-wang 再望  再往
zai-wei  再围
zai-wei-jian  载未见
zai-wen  再闻
zai-wo  在握
zai-wu-zhuan  再无转
zai-xi  仔细
zai-xi-fen-xi  仔细分析
zai-xi-guan-cha  仔细观察
zai-xi-guan-kan  仔细观看
zai-xi-guan-shang  仔细观赏
zai-xi-jian-cha  仔细检查
zai-xi-sou-suo  仔细搜索
zai-xi-ting  仔细听
zai-xi-yue-du  仔细阅读
zai-xia 再下  栽下
zai-xia-qu  栽下去
zai-xian  再现
zai-xiang 栽像 宰相  再降
zai-xiang-du-li  宰相肚里
zai-xiang-xian  再像现
zai-xin  再心
zai-xing 灾星  再行
zai-xiu  再袖
zai-xu  再续
zai-yang 再仰  再养
zai-yao  再要
zai-ye  再也
zai-ye-bu-hui  再也不会
zai-ye-bu-kuai  再也不会
zai-ye-bu-neng  再也不能
zai-yi 再议 再以  在意
zai-yong  再用
zai-you  再有
zai-you-bao  再由宝
zai-yu 再遇  在于
zai-yu-zhi  再玉指
zai-zai  仔仔
zai-zai-xi-xi  仔仔细细
zai-zang 栽赃  再藏
zai-zao-zhi-en  再造之恩
zai-zhan  再战
zai-zhang 再涨  再长
zai-zhao 再朝  再照
zai-zhe  再者
zai-zheng  再争
zai-zhong 栽种 再种 再重  灾中
zai-zhu  再助
zai-zhuang  再装
zai-zi  仔仔
zai-zi-xi-xi  仔仔细细
zai-zu-li  在族里
zai-zuo  在座
zan 赞  攒
zan-bao  暂保
zan-bi  暂避
zan-bu-jue-kou  赞不绝口
zan-bu-qiu  咱不求
zan-cheng  赞成
zan-dai  暂代
zan-huan  暂缓
zan-hui-yun  暂回云
zan-jia  咱家
zan-ju  暂居
zan-mei  赞美
zan-men  咱们
zan-qie  暂且
zan-qie-bu-shuo  暂且不说
zan-ran  昝然
zan-shang  赞赏
zan-shang-bu-yi  赞赏不已
zan-she  攒射
zan-shi  暂时
zan-shi-zhong-zhi  暂时中止
zan-tan  赞叹
zan-tan-bu-yi  赞叹不已
zan-tan-sheng  赞叹声
zan-ting  暂停
zan-tong  赞同
zan-tui  暂退
zan-wei  暂未
zan-xie  暂歇
zan-xu  赞许
zan-yong  暂用
zan-you  暂由
zan-yu  赞誉
zan-yuan  昝元
zan-zhao  攒着
zan-zhe  攒着
zan-zhu  暂住
zan-zhuo  攒着
zan-zi  簪子
zan-zuo  暂做
zang  藏
zang-bao  藏宝
zang-bao-ge  藏宝阁
zang-bao-ku  藏宝库
zang-bao-tu  藏宝图
zang-bao-zhi  藏宝之
zang-bu-zhu  藏不住
zang-de  藏得
zang-fu  葬父
zang-hou  藏后
zang-jin-qu  藏进去
zang-jing-ge  藏经阁
zang-long-wo-hu  藏龙卧虎
zang-ni  藏匿
zang-ni-zai  藏匿在
zang-pin  藏品
zang-qi  藏起
zang-ru  藏入
zang-shen 葬身  藏身
zang-shen-chu  藏身处
zang-shen-yu-fu  葬身鱼腹
zang-shen-zhi-chu  藏身之处
zang-shen-zhi-di  葬身之地
zang-shu  藏书
zang-shu-ge  藏书阁
zang-si  藏私
zang-song  葬送
zang-song-zai  葬送在
zang-tou  藏头
zang-tou-lu-wei  藏头露尾
zang-wu  藏污
zang-wu-na-gou  藏污纳垢
zang-xi-xi  脏兮兮
zang-xia  藏下
zang-xiu  藏袖
zang-you  藏有
zang-yu  藏于
zang-zhuo  藏拙
zao 造 澡  早
zao-an-pai  早安排
zao-bao-ying  遭报应
zao-ben-men  早本门
zao-bu-lai  早不来
zao-chao  早朝
zao-chen  早晨
zao-cheng 早成  造成
zao-chu 造出  早初
zao-chu-lai  造出来
zao-ci 遭此 早此  造次
zao-cun  早存
zao-dao 早到  遭到
zao-de 早得  糟得
zao-dian  早点
zao-dong  躁动
zao-dong-bu-an  躁动不安
zao-dui  早对
zao-fan  造反
zao-fang 早防  造访
zao-fei  早非
zao-feng  遭逢
zao-fu  造福
zao-gai  早该
zao-gao  糟糕
zao-guo  早过
zao-he  枣核
zao-hong-se  枣红色
zao-hou  澡后
zao-hua  造化
zao-hua-nong-ren  造化弄人
zao-hui  早毁
zao-jia  造假
zao-jian  早见
zao-jie  遭劫
zao-jiu 造就  早就
zao-kao  早靠
zao-ke  早课
zao-lai  早来
zao-lei  遭雷
zao-lei-ji  遭雷击
zao-li  早里
zao-lian-cheng  早练成
zao-nian  早年
zao-pao 早袍  皂袍
zao-po  糟粕
zao-qi  早起
zao-quan  遭犬
zao-re  燥热
zao-ren-jie  早人界
zao-ri  早日
zao-shang  早上
zao-shen  造神
zao-sheng  噪声
zao-sheng-gui-zi  早生贵子
zao-shi  早逝
zao-shou  遭受
zao-shuo  早说
zao-si  早死
zao-ta  糟蹋
zao-tian  遭天
zao-ting  早停
zao-wan  早晚
zao-wang  早亡
zao-wen  早闻
zao-xia  遭虾
zao-xian  早先
zao-xiang  早想
zao-xie  早些
zao-xie-shi-hou  早些时候
zao-xing  造型
zao-xing-ge-yi  造型各异
zao-yang  遭殃
zao-yi 早一 造诣  早已
zao-yin  噪音
zao-yong  早用
zao-you  早有
zao-yu  遭遇
zao-yu-zhan  遭遇战
zao-yue  早越
zao-zai  遭灾
zao-zao  早早
zao-zhao  早朝
zao-zhi 早止  早知
zao-zhi-jin-ri  早知今日
zao-zhi-ru-ci  早知如此
zao-zhong-wan  早中晚
zao-zi  枣子
zao-zou-yi-bu  早走一步
zao-zuo 造作  早作
ze  则
ze-an-zhi  则安之
ze-bei  责备
ze-fa  责罚
ze-guai  责怪
ze-hu  咋呼
ze-huo  责火
ze-lan  泽兰
ze-ma  责骂
ze-nan  责难
ze-ren 责任  择人
ze-ren-chong-da  责任重大
ze-ren-xin  责任心
ze-ren-zhong-da  责任重大
ze-ri  择日
ze-she  咋舌
ze-wen 咋闻  责问
ze-wu-pang-dai  责无旁贷
ze-xian  咋现
ze-yi  择一
ze-you  择优
ze-za-hu-hu  咋咋呼呼
ze-ze  啧啧
ze-ze-chen-ji  啧啧称奇
ze-ze-chen-qi  啧啧称奇
ze-ze-cheng-ji  啧啧称奇
ze-ze-cheng-qi  啧啧称奇
ze-ze-hu-hu  咋咋呼呼
ze-zha-hu-hu  咋咋呼呼
zei  贼
zei-chuan  贼船
zei-dan  贼胆
zei-han-zhuo-zei  贼喊捉贼
zei-mei-shu-mu  贼眉鼠目
zei-mei-shu-yan  贼眉鼠眼
zei-tu  贼秃
zei-wo  贼窝
zei-xin  贼心
zei-xin-bu-si  贼心不死
zei-zi  贼子
zen-bu-zao  怎不早
zen-gan  怎敢
zen-hui  怎会
zen-hui-yong  怎会用
zen-jiang  怎讲
zen-ke  怎可
zen-ken  怎肯
zen-kuai  怎会
zen-kuai-yong  怎会用
zen-me  怎么
zen-me-ban  怎么办
zen-me-hui-shi  怎么回事
zen-me-nong  怎么弄
zen-me-yang  怎么样
zen-me-zhao  怎么着
zen-me-zhe  怎么着
zen-me-zhuo  怎么着
zen-neng  怎能
zen-neng-bu  怎能不
zen-neng-qi  怎能弃
zen-qu  怎去
zen-shuo  怎说
zen-yang  怎样
zen-yang-cai-neng  怎样才能
zeng-bao  赠宝
zeng-chang  增长
zeng-chang-fu-du  增长幅度
zeng-chang-su-du  增长速度
zeng-da  增大
zeng-dan  赠丹
zeng-duo  增多
zeng-e  憎恶
zeng-fu  增幅
zeng-gao  增高
zeng-gei  赠给
zeng-hen  憎恨
zeng-ji  赠给
zeng-jia  增加
zeng-jia-yi-bei  增加一倍
zeng-jian  增减
zeng-jiang  增强
zeng-jin  增进
zeng-le  增了
zeng-li  赠礼
zeng-li-hao  增厘毫
zeng-liang  锃亮
zeng-liao  增了
zeng-pai  增派
zeng-pin  赠品
zeng-song  赠送
zeng-song-gei  赠送给
zeng-song-ji  赠送给
zeng-tian  增添
zeng-wu  憎恶
zeng-yan  赠言
zeng-yi  增益
zeng-yu 赠予  赠与
zeng-yuan 增援  增员
zeng-zhang  增长
zeng-zhang-fu-du  增长幅度
zeng-zhang-su-du  增长速度
zeng-zhao  增着
zeng-zhe  增着
zeng-zhi  增至
zeng-zhuo  增着
zha 扎 渣 眨  炸
zha-ba  眨巴
zha-cheng 扎成  炸成
zha-chu 扎出 炸出  榨出
zha-dao  扎到
zha-de 扎得  炸得
zha-diao  炸掉
zha-duan  炸断
zha-dui  扎堆
zha-fei  炸飞
zha-gan  榨干
zha-ge  炸个
zha-gen  扎根
zha-guo  炸过
zha-hu  咋呼
zha-jian  乍见
zha-jin  扎进
zha-kai  炸开
zha-lei  炸雷
zha-lie  炸裂
zha-lin-xuan  扎林轩
zha-luo 炸落  扎落
zha-men  闸门
zha-meng  蚱蜢
zha-qi  乍起
zha-qian  炸前
zha-qu 榨取  扎去
zha-ran  乍然
zha-ru  扎入
zha-shang  扎上
zha-shang-qu  扎上去
zha-she  咋舌
zha-shi  扎实
zha-shou  扎手
zha-si  炸死
zha-ting-zhi-xia  乍听之下
zha-wang  乍望
zha-wen  咋闻
zha-xia  扎下
zha-xian 咋现  乍现
zha-xiang  炸响
zha-xue  扎穴
zha-yan 扎眼  眨眼
zha-yan-jing  眨眼睛
zha-yi-kan  乍一看
zha-yi-ting  乍一听
zha-za-hu-hu  咋咋呼呼
zha-ze-hu-hu  咋咋呼呼
zha-zha-hu-hu  咋咋呼呼
zha-zhao  炸着
zha-zhe  炸着
zha-zhuo  炸着
zha-zi 渣子  渣滓
zhai  窄
zhai-cai  摘采
zhai-duo  债多
zhai-guo  摘过
zhai-luo  摘落
zhai-qu  摘取
zhai-xia  摘下
zhai-xia-lai  摘下来
zhai-xin-ren-hou  宅心仁厚
zhai-yao  摘要
zhai-you-zhu  债有主
zhai-yuan  宅院
zhai-zhai-de  窄窄的
zhai-zhong  摘种
zhai-zhu 债主  寨主
zhai-zou  摘走
zhan 占 盏 战 站  斩
zhan-bai  战败
zhan-bai-zhe  战败者
zhan-bian  沾边
zhan-bian-yi  占便宜
zhan-bing  战并
zhan-bo  占卜
zhan-bo-shu  占卜术
zhan-bu  占卜
zhan-bu-qi-lai  站不起来
zhan-bu-shang-bian  沾不上边
zhan-bu-shu  占卜术
zhan-bu-wen  站不稳
zhan-bu-zhu-jiao  站不住脚
zhan-bu-zhu-jue  站不住脚
zhan-cao  斩草
zhan-cao-chu-gen  斩草除根
zhan-chang  战场
zhan-che  战车
zhan-cheng 站成  斩成
zhan-chi  展翅
zhan-chi-yu-fei  展翅欲飞
zhan-chou  粘稠
zhan-chu 绽出 展出 斩除  斩出
zhan-chuan  战船
zhan-ci  战此
zhan-da  占大
zhan-dao 沾到 战到 展到 占到  斩到
zhan-de  斩得
zhan-di 沾地  占地
zhan-di-mian-ji  占地面积
zhan-di-yue  占地约
zhan-dian  占点
zhan-ding  站定
zhan-ding-jie-tie  斩钉截铁
zhan-dou 战都  战斗
zhan-dou-li  战斗力
zhan-du  战都
zhan-duan 战端  斩断
zhan-er-sheng  战而胜
zhan-fang  绽放
zhan-fu  战斧
zhan-gong  战功
zhan-gu 战古  战鼓
zhan-guang  沾光
zhan-guo 战过 斩过  战果
zhan-guo-shi-dai  战国时代
zhan-hai-zu  战海族
zhan-hao  战好
zhan-he  粘合
zhan-hou  战后
zhan-hun  斩魂
zhan-huo 斩获  战火
zhan-huo-fen-fei  战火纷飞
zhan-ji 战戟 战机 战姬 斩击  战绩
zhan-jia  战甲
zhan-jiang  战将
zhan-jiang-di  战强敌
zhan-jin  斩尽
zhan-jin-sha-jue  斩尽杀绝
zhan-jing  展井
zhan-jiu-zhan  战就战
zhan-ju 占居 占据  战局
zhan-ju-zhu-dong  占据主动
zhan-kai 绽开  展开
zhan-kuang  战况
zhan-lai  斩来
zhan-lan  湛蓝
zhan-le 展了  战了
zhan-li 战例 战栗 站立  战力
zhan-li-pin  战利品
zhan-li-qi-lai  站立起来
zhan-li-zhi  战力之
zhan-lian 战练  粘连
zhan-lian-sheng  战连胜
zhan-liao 展了  战了
zhan-lin-xuan 斩林轩 占林轩  站林轩
zhan-ling  占领
zhan-long  崭龙
zhan-lu  展露
zhan-lu-chu  展露出
zhan-lu-tou-jiao 崭露头角  展露头角
zhan-lue-yao-di  战略要地
zhan-lue-zhan-shu  战略战术
zhan-luo  斩落
zhan-ma  战马
zhan-man 占满  沾满
zhan-mao  战矛
zhan-mie  斩灭
zhan-mou  展某
zhan-nai-long  沾鼐龙
zhan-pian-yi  占便宜
zhan-ping  战平
zhan-po  斩破
zhan-qian 斩前  战前
zhan-qian-gu-hou  瞻前顾后
zhan-qie  战且
zhan-qu  占去
zhan-ran  沾染
zhan-ran-shang  沾染上
zhan-re  沾惹
zhan-ren  占人
zhan-rong  展容
zhan-ru  斩入
zhan-sha  斩杀
zhan-shang 斩上 战上  沾上
zhan-shang-feng  占上风
zhan-shang-qu  站上去
zhan-shen  战神
zhan-sheng  战胜
zhan-shi 战事 斩实 战尸 战士 战是  展示
zhan-shu 战书  战术
zhan-si  战死
zhan-sui  斩碎
zhan-tai  站台
zhan-ti  沾体
zhan-tian  战天
zhan-tian-dou-di  战天斗地
zhan-tuan  战团
zhan-wei  斩为
zhan-wei-ji-you  占为己有
zhan-wen  站稳
zhan-wen-jiao-bu  站稳脚步
zhan-wen-jiao-gen  站稳脚跟
zhan-wen-jue-bu  站稳脚步
zhan-wen-jue-gen  站稳脚跟
zhan-wu-bu-sheng  战无不胜
zhan-xia  斩下
zhan-xia-lai  斩下来
zhan-xia-qu  斩下去
zhan-xian 占先  展现
zhan-xian-chu  展现出
zhan-xin  崭新
zhan-xing  粘性
zhan-xu  斩虚
zhan-xue  沾血
zhan-yan 展颜  展言
zhan-yao  斩妖
zhan-yi 战一 战衣 战意  战役
zhan-yong  占用
zhan-you 战友 占有  占优
zhan-you-shi  占优势
zhan-you-you-shi  占有优势
zhan-yu  斩于
zhan-zai  战在
zhan-zhan-jing-jing  战战兢兢
zhan-zhan-zi-xi  沾沾自喜
zhan-zhao-bu-dong  站着不动
zhan-zhe  沾者
zhan-zhe-bu-dong  站着不动
zhan-zhen  战阵
zhan-zheng  战争
zhan-zhi  战至
zhan-zhi-guo  战之过
zhan-zhi-li  沾之立
zhan-zhi-wu  崭之物
zhan-zhi-yi  战之议
zhan-zhou  战舟
zhan-zhu  站住
zhan-zhuan  辗转
zhan-zhuan-fan-ce  辗转反侧
zhan-zhuo-bu-dong  站着不动
zhan-zuo  战做
zhang 胀 长 张  掌
zhang-ai  障碍
zhang-ai-wu  障碍物
zhang-bai  张伯
zhang-bai-kan  张伯看
zhang-bang  张榜
zhang-bao  张宝
zhang-bao-hui  张宝会
zhang-bao-kuai  张宝会
zhang-bei  长辈
zhang-bi 长臂  长鼻
zhang-bo  张伯
zhang-bo-kan  张伯看
zhang-bu-da  长不大
zhang-bu-kai  张不开
zhang-cai  长才
zhang-can  张残
zhang-chang 丈长  长长
zhang-chang-de  长长的
zhang-chang-di  长长地
zhang-cheng 涨成  长成
zhang-cheng-bu-shuai  长盛不衰
zhang-chi 张弛  长尺
zhang-chong  长虫
zhang-chu 张处 长处  长出
zhang-chuan  张传
zhang-chun  长春
zhang-ci-xia-qu  长此下去
zhang-ci-yi-wang  长此以往
zhang-cun  长存
zhang-da 涨大 胀大 长达 张大  长大
zhang-da-dao  涨大到
zhang-da-ge  张大哥
zhang-da-qi-lai  涨大起来
zhang-da-zui  张大嘴
zhang-dao 涨到 长到  长刀
zhang-de 涨得 张得  长得
zhang-de-ben  长得本
zhang-de-lei  张德磊
zhang-de-shi  长得实
zhang-de-shuai  长得帅
zhang-deng-jie-cai  张灯结彩
zhang-di 长地  长笛
zhang-du  长度
zhang-duan  长短
zhang-duan-bu-yi  长短不一
zhang-duo 丈多  掌舵
zhang-duo-zhe  掌舵者
zhang-er  长耳
zhang-er-bi  长耳碧
zhang-er-bi-mu  长耳碧目
zhang-er-he-shang  丈二和尚
zhang-er-he-shang-mo-bu-zhao-tou-nao  丈二和尚摸不着头脑
zhang-er-he-shang-mo-bu-zhe-tou-nao  丈二和尚摸不着头脑
zhang-er-he-shang-mo-bu-zhuo-tou-nao  丈二和尚摸不着头脑
zhang-er-huo-shang  丈二和尚
zhang-er-huo-shang-mo-bu-zhao-tou-nao  丈二和尚摸不着头脑
zhang-er-huo-shang-mo-bu-zhe-tou-nao  丈二和尚摸不着头脑
zhang-er-huo-shang-mo-bu-zhuo-tou-nao  丈二和尚摸不着头脑
zhang-er-lv-mu  长耳绿目
zhang-fa 掌法 长发  章法
zhang-fang 长方  长房
zhang-fang-xing  长方形
zhang-feng 长丰 张峰 掌风  长风
zhang-fu 章符 张符  丈夫
zhang-fu-ren  张夫人
zhang-gao 丈高  长高
zhang-ge  长戈
zhang-ge-hui  长戈挥
zhang-ge-hui-luo  长戈挥落
zhang-ge-ling-mang  长戈灵芒
zhang-ge-qu  长戈取
zhang-ge-ruo-lun  长戈若论
zhang-ge-wang  长戈往
zhang-ge-ze  长戈则
zhang-ge-zhang  长戈掌
zhang-gong  张弓
zhang-gu  掌故
zhang-gu-gu  胀鼓鼓
zhang-guan  掌管
zhang-guang  丈广
zhang-gui 张贵  掌柜
zhang-gui-de  掌柜的
zhang-guo  长过
zhang-hao  账号
zhang-he 张合  长河
zhang-hong 长虹  涨红
zhang-hou  长吼
zhang-hua-duan-shuo  长话短说
zhang-huang-shi-cuo 张徨失措  张皇失措
zhang-ji 掌击  张奇
zhang-ji-fu  张奇符
zhang-ji-you  长几有
zhang-jia 涨价 张家  长假
zhang-jian 长箭 长剑  掌间
zhang-jian-shi  长见识
zhang-jian-shi-le  长见识了
zhang-jian-shi-liao  长见识了
zhang-jiang-hou-lang-tui-qian-lang  长江后浪推前浪
zhang-jiao  长角
zhang-jiao-gu  长角古
zhang-jie 长街 长姐  章节
zhang-jie-shu  章节数
zhang-jie-you  长皆有
zhang-jin 长近 长仅  长进
zhang-jing  长鲸
zhang-jiu  长久
zhang-jiu-yi-lai  长久以来
zhang-ju-li  长距离
zhang-kai  张开
zhang-kai-ju  张开巨
zhang-kai-xue  张开血
zhang-kai-zui  张开嘴
zhang-kai-zui-ba  张开嘴巴
zhang-ke-ji  长可及
zhang-kong 长空  掌控
zhang-kou  张口
zhang-kou-jie-she  张口结舌
zhang-kuan 丈宽  长宽
zhang-kuang  张狂
zhang-lai 掌来  丈来
zhang-lao  长老
zhang-lao-hui  长老会
zhang-lao-kuai  长老会
zhang-lao-pai  长老派
zhang-li 掌力  掌里
zhang-li-zhi  掌力之
zhang-lian 涨脸  长脸
zhang-ling 长灵  长翎
zhang-liu  长流
zhang-lue  张略
zhang-luo  张罗
zhang-man  长满
zhang-mang  掌芒
zhang-mao 长毛  长矛
zhang-mao-rong  长毛绒
zhang-mei  长眉
zhang-mei-ren  张美人
zhang-men 长门  掌门
zhang-men-ren  掌门人
zhang-men-shi  掌门师
zhang-mian  长眠
zhang-ming 长命  长鸣
zhang-ming-suo  长命锁
zhang-mou  张某
zhang-mu  账目
zhang-nian  长年
zhang-ning  张宁
zhang-nv  长女
zhang-pa  掌怕
zhang-pao  长袍
zhang-peng  帐篷
zhang-pian  长篇
zhang-pian-da-lun  长篇大论
zhang-pin  张品
zhang-qi 张起 长期 胀气 长气 瘴气 张奇  掌起
zhang-qi-fu  张奇符
zhang-qi-lai  涨起来
zhang-qiang  长枪
zhang-qing  长青
zhang-qiu  章求
zhang-qu-zhi-ru  长驱直入
zhang-qun  长裙
zhang-ran  长髯
zhang-san 张三  长三
zhang-san-tan  张三叹
zhang-shan  长衫
zhang-shang 掌上  长上
zhang-shang-ming-zhu  掌上明珠
zhang-she  长舌
zhang-shen  长身
zhang-sheng  长生
zhang-sheng-bu-lao  长生不老
zhang-sheng-bu-shuai  长盛不衰
zhang-sheng-bu-si  长生不死
zhang-sheng-dian  长生殿
zhang-shi 张氏 仗势  长十
zhang-shi-bai-shi  张师伯是
zhang-shi-bo-shi  张师伯是
zhang-shi-di  张师弟
zhang-shi-jian  长时间
zhang-shi-qi-ren  仗势欺人
zhang-shou 张兽 长寿  长手
zhang-shou-ming  长寿命
zhang-shu  长数
zhang-song  张松
zhang-suan  账算
zhang-tan 长叹  长谈
zhang-tao  张涛
zhang-ti  张替
zhang-tian  长天
zhang-tian-gang  张天罡
zhang-tiao-xing  长条形
zhang-tiao-zhuang  长条状
zhang-tie  张贴
zhang-tou-shu-mu  獐头鼠目
zhang-tu 长途  张图
zhang-tu-ba-she  长途跋涉
